"Fichier","Ligne","Lien"
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","14","href=""https://fonts.googleapis.com/css2?family=Bebas+Neue&amp;family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,700;0,9..144,900;1,9..144,300;1,9..144,700&amp;family=IBM+Plex+Mono:wght@400;500&amp;family=IBM+Plex+Sans:wght@300;400;500&amp;display=swap"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","576","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","578","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","585","href=""#diagnostic"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","591","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","609","href=""#probleme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","609","href=""#distinction"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","609","href=""#conversion"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","609","href=""#territoires"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","609","href=""#faq"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","680","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","693","href=""/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","726","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","740","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","740","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","844","href=""/cdn-cgi/l/email-protection#12717d7c66737166527c7767607d70607773793c71732d616770787771662f567b73757c7d61667b713720225c7767607d5060777379375720372a26375320"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","852","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","854","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","855","href=""/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","856","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","857","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","858","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","861","href=""/montreal-strategie-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","862","href=""/quebec-optimisation-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","863","href=""/laval-export-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","864","href=""/sherbrooke-traction-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","865","href=""/gatineau-conformite-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","869","href=""/mentions-legales"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","871","href=""/politique-confidentialite"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\brossard-conversion-b2b\index.html","873","href=""/rgpd"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","8","href=""https://neurobreak.ca/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","13","href=""https://fonts.googleapis.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","14","href=""https://fonts.gstatic.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","15","href=""https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,700;0,9..144,900;1,9..144,300;1,9..144,700&family=IBM+Plex+Mono:wght@400;500&family=IBM+Plex+Sans:wght@300;400;500&display=swap"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","523","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","525","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","533","href=""#diagnostic"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","540","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","541","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","570","href=""#intention"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","571","href=""#distinction"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","572","href=""#erreurs"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","573","href=""#fenetreqc"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","574","href=""#faq"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","652","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","697","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","702","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","760","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","794","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","970","href=""/cdn-cgi/l/email-protection#8ae9e5e4feebe9fecae4effff8e5e8f8efebe1a4e9eb"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","979","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","981","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","982","href=""/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","983","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","984","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","985","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","988","href=""/montreal-strategie-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","989","href=""/quebec-optimisation-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","990","href=""/laval-export-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","991","href=""/sherbrooke-traction-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","992","href=""/gatineau-conformite-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","996","href=""/mentions-legales"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","998","href=""/politique-confidentialite"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\chaine-youtube-b2b-generation-leads\index.html","1000","href=""/rgpd"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","9","href=""https://neurobreak.ca/drummondville-orchestration-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","12","href=""https://fonts.googleapis.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","13","href=""https://fonts.gstatic.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","14","href=""https://fonts.googleapis.com/css2?family=Bebas+Neue&amp;family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,700;0,9..144,900;1,9..144,300;1,9..144,700&amp;family=IBM+Plex+Mono:wght@400;500&amp;family=IBM+Plex+Sans:wght@300;400;500&amp;display=swap"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","576","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","578","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","585","href=""#diagnostic"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","591","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","609","href=""#probleme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","609","href=""#projection"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","609","href=""#orchestration"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","609","href=""#territoires"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","609","href=""#faq"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","682","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","695","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","728","href=""/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","742","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","742","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","852","href=""/cdn-cgi/l/email-protection#12717d7c66737166527c7767607d70607773793c71732d616770787771662f567b73757c7d61667b713720225c7767607d5060777379375720372a26375320"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","860","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","862","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","863","href=""/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","864","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","865","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","866","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","869","href=""/montreal-strategie-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","870","href=""/quebec-optimisation-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","871","href=""/laval-export-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","872","href=""/sherbrooke-traction-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","873","href=""/gatineau-conformite-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","877","href=""/mentions-legales"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","879","href=""/politique-confidentialite"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\drummondville-performance-b2b\index.html","881","href=""/rgpd"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","9","href=""https://neurobreak.ca/granby-acquisition-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","12","href=""https://fonts.googleapis.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","13","href=""https://fonts.gstatic.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","14","href=""https://fonts.googleapis.com/css2?family=Bebas+Neue&amp;family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,700;0,9..144,900;1,9..144,300;1,9..144,700&amp;family=IBM+Plex+Mono:wght@400;500&amp;family=IBM+Plex+Sans:wght@300;400;500&amp;display=swap"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","576","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","578","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","585","href=""#diagnostic"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","591","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","609","href=""#probleme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","609","href=""#fracture"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","609","href=""#acquisition"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","609","href=""#territoires"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","609","href=""#faq"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","682","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","695","href=""/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","728","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","742","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","742","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","852","href=""/cdn-cgi/l/email-protection#12717d7c66737166527c7767607d70607773793c71732d616770787771662f567b73757c7d61667b713720225c7767607d5060777379375720372a26375320"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","860","href=""/"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","862","href=""/marketing-fragmente-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","863","href=""/chaine-youtube-b2b-generation-leads"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","864","href=""/reduction-cycle-vente-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","865","href=""/systeme-marketing-centralise-pme"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","866","href=""/systeme-marketing-b2b-quebec"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","869","href=""/montreal-strategie-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","870","href=""/quebec-optimisation-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","871","href=""/laval-export-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","872","href=""/sherbrooke-traction-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","873","href=""/gatineau-conformite-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","877","href=""/mentions-legales"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","879","href=""/politique-confidentialite"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\granby-systeme-b2b\index.html","881","href=""/rgpd"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\laval-export-b2b\index.html","9","href=""https://neurobreak.ca/laval-export-b2b"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\laval-export-b2b\index.html","12","href=""https://fonts.googleapis.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\laval-export-b2b\index.html","13","href=""https://fonts.gstatic.com"""
"C:\Users\simon\Bureau_local\Desktop\Nouveau dossier (5)\neurobreak\laval-export-b2b\index.html","14","href=""https://fonts.googleapis.com/css2?family=Bebas+Neue&amp;family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,700;0,9..144,900;1,9..144,300;1,9..144,700&amp;family=IBM+Plex+Mono:wght@400;500&amp;family=IBM+Plex+Sans:wght@300;400;500&amp;display=swap"""
